x;T;Tv_NO;Tv_N2
"0.295";"1873.5";"624.9";"337.7"
"0.412";"1873.6";"635.9";"341.3"
"6.099".1875."961.2";"477.6"
"7.608";"1874.7";"1001.1".495
"10.858";"1873.5";"1064.2";"517.9"
"17.358";"1870.3";"1147.4";"548.5"
"26.644";"1865.8";"1219.2".590
"37.091";"1862.6".1257."633.5"
"40.573";"1862.3";"1262.3";"646.7"
"49.975";"1863.7";"1268.3";"677.4"
"63.324".1868."1270.5";"711.3"
"63.672";"1868.2";"1270.6";"712.1"
"80.735";"1870.2";"1273.7";"746.2"
"86.539";"1869.1";"1276.5";"755.7"
"89.789".1868."1278.6";"760.7"
"108.129";"1856.9";"1290.1";"787.7"
"115.209";"1852.3";"1292.9";"799.3"
"116.254";"1851.7";"1293.3";"801.2"
"141.094";"1845.9";"1299.5";"848.4"
"142.835";"1846.2";"1299.9";"851.2"
"149.8";"1848.5".1301."861.3"
"169.184";"1857.1";"1304.1";"885.7"
"169.88";"1857.4";"1304.3";"886.6"
"174.872";"1858.5";"1306.4";"893.2"
"193.56";"1857.7";"1317.9";"913.8"
"195.881";"1857.1";"1319.3".915
"202.962".1855."1322.8";"917.1"
"216.426";"1851.7";"1326.3";"924.8"
"222.23";"1851.7";"1327.1";"933.3"
"230.587";"1853.9";"1328.2";"948.9"
"239.409";"1856.7";"1330.4";"962.9"
"248.695";"1857.1";"1332.8";"969.6"
"255.195";"1854.5";"1333.7";"971.4"
"262.044";"1849.8";"1333.5";"973.8"
"275.276";"1840.8";"1332.9";"987.1"
"279.919";"1839.1";"1333.7";"993.4"
"281.544";"1838.8";"1334.3";"995.6"
"299.42";"1840.8";"1350.1";"1017.3"
"299.536";"1840.8";"1350.2";"1017.4"
