x,T,Tv_NO,Tv_N2
"0,036",6230,1635,"813,9"
"0,099","6221,4","1747,6","893,2"
"0,123","6218,2","1789,7","922,9"
"0,861","6106,3","3100,1","1755,6"
"1,087","6084,7","3477,2",1951
"1,62","6044,6","4075,6","2298,6"
"2,716","5985,9","4736,4",2765
"3,308","5960,9","4979,3","2969,3"
"4,126","5930,9","5230,2","3230,1"
"5,506","5887,6","5476,7","3632,8"
"6,503","5859,9","5565,8","3891,5"
"9,283","5792,7","5639,2","4386,8"
"11,669","5743,7","5631,7","4659,8"
"15,728","5675,8","5626,1","5015,2"
"15,964","5672,5","5625,7","5032,7"
"17,763","5649,6","5620,5","5150,6"
"22,172","5614,5","5605,2","5314,5"
"23,45","5609,5","5601,7","5343,8"
"30,879","5607,7","5601,7",5468
"30,937","5607,7","5601,8","5468,8"
"32,039","5608,3","5602,1",5482
"39,642","5606,4","5602,1","5523,9"
"44,402","5601,8","5601,7","5539,4"
"44,46","5601,7","5601,7","5539,6"
"50,96","5594,6","5602,1","5559,8"
"57,634","5589,8","5601,7","5570,9"
"57,692","5589,8","5601,7","5570,9"
"62,857","5589,6","5599,4","5571,8"
"70,925","5589,8","5589,9",5568
"70,983","5589,8","5589,8",5568
"76,96","5586,1",5578,"5565,8"
"84,157","5583,8","5571,8","5577,7"
"84,215","5583,8","5571,8","5577,8"
"84,215","5583,8","5571,8","5577,8"
"97,506","5595,8","5595,8","5595,6"
"97,622","5595,8","5595,8","5595,8"
"110,738","5589,8","5583,9","5607,7"
"110,796","5589,7","5583,8","5607,7"
"110,854","5589,7","5583,8","5607,7"
"124,087","5589,8","5583,8","5589,9"
"124,145","5589,8","5583,8","5589,9"
"124,203","5589,8","5583,8","5589,8"
"137,261","5589,8","5589,8","5583,7"
"137,377","5589,8","5589,9","5583,8"
"149,565","5595,7","5601,6","5601,7"
"149,623","5595,8","5601,7","5601,9"
"149,681","5595,8","5601,7",5602
