x,n_NO,n_NO_0
"-0,2","16,5289","16,4949"
"0,036","16,5732","12,9419"
"0,271","16,6176","10,9717"
"1,293","16,8081","8,5824"
"3,257","17,1452","7,1922"
"3,964","17,2399","6,9802"
"7,421","17,2013","6,595"
"8,129","17,1773","6,5663"
"15,907","16,9286","6,4503"
"17,4","16,8524","6,4308"
"23,764","16,3424","6,2475"
"26,121","16,1457","6,1778"
"39,793","15,0722","5,8432"
"43,407","14,8089","5,75"
"55,743","13,9782","5,3891"
"60,929","13,6482","5,2438"
"71,929","12,9822","4,9976"
"78,529","12,6132","4,8748"
"88,036","12,1233","4,7071"
"96,05","11,7431","4,5646"
"104,064","11,3819","4,4162"
"113,807","10,9627","4,2348"
"120,093","10,7188","4,1235"
"131,014","10,3572","3,9637"
"136,2","10,1929","3,9092"
"148,536","9,774","3,7905"
"152,15","9,6473","3,7464"
"166,057","9,1865","3,5586"
"168,336","9,1214","3,5319"
"183,343","8,7606","3,3854"
"184,521","8,7326","3,374"
"199,764","8,3284","3,212"
"199,921","8,324","3,2103"
