x;T_1;T_2;T_3;Tv_1;Tv_2;Tv_3
"-0.0167";8104;10469;11415;"480.3";"491.7";"410.6"
"0.0096";"8100.4";"10464.1";"11411.2";"547.9";"548.7";"447.3"
"0.0359";"8096.8";"10459.3";"11407.3";"614.3";"605.7";"484.1"
"0.1148";"8085.9";"10444.7";"11395.8";"797.7";"775.4";"594.4"
"0.1542";"8080.5";"10437.4";"11390.1";"879.2";"859.3";"649.5"
"0.5618";"8024.7";"10362.2";"11330.7";"1486.7";1647;"1210.1"
"0.6144";"8017.5";"10352.5";11323;"1548.7";"1734.4";"1280.5"
"1.3902";"7912.4";"10208.7";"11209.7";"2332.5";"2742.6";"2214.7"
"1.5085";"7896.6";"10186.6";"11192.4";"2439.5";"2874.2";"2333.7"
"2.087";"7820.4";"10078.2";"11107.3";"2931.4";"3482.5";"2832.4"
"2.8891";"7719.6";"9925.5";"10988.2";"3523.2";"4205.1";"3426.9"
"3.1257";"7691.4";"9879.8";"10952.8";"3674.8";"4391.4";"3602.8"
"3.415";"7658.2";"9823.4";"10909.2";"3845.9";"4603.6";"3817.7"
"3.9541";"7600.7";"9716.6";"10827.3";"4127.2";"4960.4";4207
"3.9804";7598;"9711.4";"10823.3";"4139.8";"4976.7";"4225.4"
"4.3354";"7563.1";"9639.8";"10768.7";"4301.4";"5185.7";"4466.7"
"5.0849";"7494.8";"9485.9";"10651.9";"4599.4";"5562.9";4925
"5.4267";"7464.6";"9414.9";"10597.8";"4718.6";"5702.7";5108
"6.1499";7399;"9264.1";"10481.7";"4937.1";"5919.1";"5445.4"
"6.3866";"7376.4";"9214.8";"10443.3";"4997.5";"5967.2";"5542.5"
"7.5305";"7261.6";"8978.7";"10254.1";"5198.2";"6080.1";"5927.3"
"7.8197";"7231.8";"8919.9";"10205.4";"5227.3";"6089.6";6003
"7.8855";7225;"8906.7";"10194.3";5233;"6091.1";"6019.1"
"8.3062";"7181.6";"8822.4";10123;"5264.3";"6096.3";"6111.3"
"8.8979";"7120.7";"8706.1";"10021.6";"5298.7";"6092.5";6214
"9.6868";"7040.7";"8555.9";9885;"5317.7";"6075.1";"6310.1"
"10.0418";"7005.1";"8490.3";"9823.3";"5318.8";"6064.8";"6340.5"
"10.6467";"6945.3";"8381.5";"9718.4";"5314.5";"6045.3";"6377.4"
"10.6993";"6940.1";"8372.2";"9709.3";"5313.9";"6043.5";"6379.8"
"12.4743";"6769.5";"8077.5";"9406.3";"5279.4";"5977.8";"6388.5"
"13.7891";"6648.2";"7881.6";"9192.1";"5247.1";"5924.6";"6346.9"
"14.3545";"6597.6";"7802.4";"9104.1";"5232.6";"5900.9";"6326.2"
"14.5123";"6583.7";"7780.8";"9080.1";"5228.6";"5894.2";"6320.3"
"14.7358";"6564.2";"7750.5";"9046.5";"5222.8";"5884.7";"6311.9"
"16.8396";"6390.2";"7484.7";"8755.5";5169;5796;"6232.4"
"18.2596";"6280.8";"7322.7";"8581.6";"5134.2";5740;"6180.2"
"19.2063";"6209.7";"7221.9";"8473.4";"5111.8";"5705.5";"6146.7"
"19.7191";"6171.2";"7169.6";"8416.8";"5099.9";"5687.9";6129
"20.3239";6126;"7109.7";"8351.4";5086;"5668.4";"6108.6"
"21.4415";"6044.4";"7004.2";8235;"5060.8";"5635.2";"6072.4"
"23.7951";"5885.6";"6801.6";"8009.7";"5009.8";"5573.7";"6002.3"
"24.4788";"5843.6";"6747.1";7949;"4995.5";"5556.9";"5983.3"
"24.755";"5827.1";"6725.7";7925;"4989.7";"5550.2";"5975.8"
"25.3072";"5794.9";"6683.5";7878;"4978.4";"5536.8";5961
"26.5826";"5723.6";"6590.2";"7773.4";"4952.7";"5504.4";"5928.1"
"29.1334";"5592.1";"6417.9";"7579.6";"4903.2";"5425.9";"5867.3"
"30.4482";"5529.9";"6335.6";"7487.4";"4878.5";"5393.9";"5838.5"
"30.514";"5526.9";"6331.6";7483;"4877.3";"5392.4";"5837.1"
"30.8558";"5511.5";6311;7460;"4870.9";5385;"5829.9"
"32.2496";5451;6231;"7370.2";"4845.1";"5356.3";"5801.8"
"33.7091";5391;"6156.1";"7282.1";"4818.3";5328;"5774.4"
"33.8274";"5386.3";"6150.4";"7275.2";"4816.1";"5325.7";"5772.3"
"36.9699";"5262.6";"6014.1";"7101.7";"4758.6";"5267.9";5720
"37.0356";"5260.1";"6011.4";"7098.2";"4757.4";"5266.7";5719
"39.0605";"5184.2";"5932.6";"6993.3";4721;5231;5689
"40.4411";"5135.4";"5880.7";"6923.7";"4696.6";"5207.1";"5669.5"
"42.0057";"5084.5";5823;"6845.8";"4669.6";"5180.6";"5648.2"
"42.6895";"5063.8";"5798.1";"6811.9";"4658.1";"5169.1";"5638.9"
"42.7683";"5061.5";"5795.2";6808;"4656.8";"5167.8";"5637.9"
"43.6624";"5035.6";"5762.8";"";4642;"5153.1";""
"49.5004";"4879.5";5554;"";"4549.9";"5059.8";""
"49.8028";"4871.7";"5543.2";"";"4545.3";"5055.1";""
"49.8291";4871;"5542.3";"";"4544.9";"5054.6";""
"49.8948";"4869.3";5540;"";"4543.8";"5053.6";""
